delivery_date,base_pred,peak_pred,offpeak_pred,base_p10,base_p90,base_actual,peak_actual,peak_premium,next_7d_base_mean,next_30d_base_mean,next_7d_peak_mean,next_30d_peak_mean,next_7d_base_p10,next_7d_base_p90,next_30d_base_p10,next_30d_base_p90
2025-03-26,114.93686805047419,117.49039141228758,112.38334468866078,85.94581012710537,148.63541270291444,114.69666666666667,116.17750000000001,2.55352336181339,91.8729048945214,111.7177405499872,89.34254712376855,111.14489199049588,48.56297351152708,138.19399811062127,68.02464285534927,157.88963583154066
2025-03-27,110.01587182768863,105.3845198711842,114.64722378419306,62.28701083956749,145.8329024798145,98.34666666666668,86.74666666666667,-4.631351956504432,90.34309467483956,110.65682223081737,87.06756037614188,109.42897194534207,47.5746439772124,134.16958818704606,66.68242782339698,156.4957999308964
2025-03-28,98.22408656611724,89.01819319168737,107.42997994054711,29.93259385874007,151.49398037331207,89.32666666666667,75.30583333333333,-9.205893374429863,93.91300513823144,109.15924591525028,92.10715929469252,107.1331876214152,49.95723253994303,138.13691981819244,63.92530392773713,155.36670905294443
2025-03-29,85.46768031452613,76.713872090544,94.22148853850827,38.72353796325731,120.9117978431593,81.70833333333333,74.1925,-8.753808223982134,103.14284252735277,107.43928046664365,100.97243223939897,104.65401175083844,58.259802406594126,147.8951363743385,61.834096143492424,153.53134660062335
2025-03-30,18.222220742830892,7.352938848791948,29.091502636869834,-13.638211978638164,50.140691910245856,14.634166666666667,6.832499999999999,-10.869281894038945,96.3435403776646,103.272501774889,91.57240879413348,99.76974433874744,52.76515826307913,136.01406058490875,57.61104120213977,149.10981628365877
2025-03-31,106.6695438568335,118.10411413840772,95.23497357525929,46.35464902783392,153.69889261783456,107.22583333333334,109.20333333333333,11.434570281574224,92.69164911046039,102.62660291610034,89.36585961215714,99.34845749452171,46.70857805064186,132.01980246219128,55.55440944526526,148.96115780733243
2025-04-01,101.39788042454124,90.80889653478549,111.98686431429694,56.20076471299761,150.6464187993358,91.65291666666667,77.815,-10.588983889755752,90.70487882614454,102.72729110132384,86.41041801252689,99.36525891117076,43.68659350726623,131.62287096094522,56.04004078250228,149.28150376215993
2025-04-02,68.21951683338165,46.44341181243849,89.99562185432482,-5.306160809576471,124.99170219273611,61.57416666666666,35.85666666666667,-21.776105020943156,84.03097150941703,101.08539097351512,76.26084949826274,97.02572003252244,30.650597659168824,128.24519803091974,53.78935941828984,147.46431749922974
2025-04-03,88.28318074056456,73.83450941094095,102.73185207018817,13.13019810423975,133.44155808136628,80.72333333333334,59.173333333333325,-14.448671329623608,80.92630135411362,99.97876416661555,71.75370514679943,95.52974570376007,23.628195839836287,126.47500597399856,51.79615513469017,146.304537581444
2025-04-04,90.93090037267534,69.6199725183355,112.24182822701515,17.02422908963731,143.194336959334,89.93416666666667,62.5325,-21.310927854339837,79.88441761219333,99.81773709570841,68.98253076489202,95.03518781891292,21.784143729964466,125.28934262914456,51.355456419344435,146.11812068078353
2025-04-05,44.91821636220314,19.405196775786983,70.43123594861929,-18.685955928253463,87.82803789470988,51.46958333333333,16.428333333333335,-25.513019586416156,74.09163704757576,97.88277856713756,60.79557714849816,92.3407330789352,13.582787459748642,120.5630912079375,48.87933933972237,143.92919652022272
2025-04-06,54.28178243797475,35.014432554564785,73.5491323213847,-20.96898396024333,109.67979149828217,39.962916666666665,8.384166666666665,-19.267349883409963,79.24300300402489,95.90742590223834,64.7472191064657,89.76876392104461,12.53553431951933,129.06867686337128,45.90404760040267,142.0673756429461
2025-04-07,105.38199982210382,94.16900135225472,116.59499829195295,33.12072260555609,159.6460755991439,96.59291666666668,83.4175,-11.212998469849097,79.05906814192065,96.37104999553397,61.327917279872416,90.36090912120598,10.64497340205107,129.91827443212972,46.08335356572032,143.00203074842972
2025-04-08,115.08121498270582,108.16896817107785,121.99346179433378,59.04746247411508,173.80780560632803,99.50541666666668,86.13833333333334,-6.912246811627966,81.01383022165844,97.38241705081025,63.80792751362848,91.6457622004995,11.051644510782138,133.22704397598577,47.73805611973792,144.16690164232384
2025-04-09,98.67134013972505,83.63500464421624,113.70767563523383,51.35090153074118,147.7870768843883,90.78875,70.19666666666667,-15.036335495508808,85.36409069399322,96.27744979911192,69.12101220388243,90.02409607898575,19.145510559398947,136.48352607479322,46.44303821725523,142.8132619928146
2025-04-10,82.02169856709317,69.19122673758186,94.85217039660448,29.113501579549848,131.76314254729712,83.17375,65.97583333333334,-12.83047182951131,84.46959324064015,94.43644506246531,68.45768610768828,87.64378025705452,21.428839627300388,136.24375242706907,43.99868997962575,140.85594908721248
2025-04-11,54.67392331989328,36.83251819729899,72.51532844248757,-18.646530762351777,111.8175716660114,68.22208333333333,49.9425,-17.84140512259429,79.29002509024271,91.52687723175914,63.77376406182592,83.90342684137923,16.33301679130195,131.76135738516584,39.63877856646382,138.36514230585368
2025-04-12,57.289750624489734,34.19479737721631,80.38470387176316,-18.247427235776986,103.89581229137983,61.561249999999994,36.906666666666666,-23.094953247273423,81.05738712771223,88.9015201880596,65.8865641477444,80.35231240308241,16.395663747370012,134.05675372754723,35.36948814699838,135.9148129648871
2025-04-13,37.542398675034015,25.540629026800303,49.54416832326774,-28.520377618943584,114.68927544660173,41.297916666666666,33.80916666666666,-12.001769648233712,78.66604659014926,85.78079916245628,64.53316364377804,76.70163969662896,15.316893224698552,134.7723942915929,30.777926527494284,134.03962592307437
2025-04-14,95.68507893232056,92.51794143565839,98.85221642898277,51.508823171460364,157.89019651436453,97.15208333333332,96.34499999999998,-3.1671374966621784,77.28077217732309,85.5812664661484,64.29729794140714,76.55927346170641,17.943764734113447,134.5215544223387,30.30077583605497,135.0985330232447
2025-04-15,65.95498778659494,56.65189012542769,75.2580854477622,4.937792054913805,109.47487324323848,71.03833333333333,60.57750000000001,-9.30309766116725,70.26273972073582,85.19488769272915,56.937715363457116,76.29564409691383,10.213811817084693,125.3311355133259,29.846532459196098,134.864939526696
2025-04-16,89.08255407416137,79.91619424210187,98.24891390622086,48.22452988976764,130.19335940254973,89.69916666666666,80.38583333333334,-9.166359832059499,68.892913139941,84.52033421811943,56.406456734583635,75.1654943541711,9.767187296945616,122.81774730163468,29.180255577977,133.74819307311313
2025-04-17,83.75940711422201,78.39567525270812,89.12313897573593,52.58806906418788,120.95557518914646,98.45833333333333,98.58416666666666,-5.363731861513898,69.14115721810228,83.70014350494469,57.72137795103024,74.35985102222777,13.12069693760819,121.27380910761316,29.144360678834484,132.47291571479306
2025-04-18,84.27668663968738,87.03267457754869,81.52069870182608,59.29999082449717,120.89268457416867,87.77416666666666,89.43916666666667,2.755987937861306,73.3701234066443,82.63874184730061,64.89282886249448,73.44481362512461,24.25591430715804,122.57025380877849,28.959064769265613,130.7343848796366
